Titulo Resumido,Ano,Pais,Tipo de Estudo,Foco Principal,Metrica Avaliada
Revisão sobre Adoção de CI,2017,Finlândia,Revisão Sistemática,Barreiras na adoção,Causas de problemas
Qualidade e Produtividade em CI,2015,EUA,Estudo de Caso,Qualidade de código,Número de commits
Mapeamento sobre DevOps,2017,Holanda,Mapeamento Sist.,Definições e práticas,Ferramentas DevOps
Revisão sobre CI/CD/CD,2017,Austrália,Revisão Sistemática,Desafios e práticas,Frequência de deploy
Efeitos dos Testes A/B na Qualidade,2018,Bélgica,Estudo de Caso,Qualidade de software,Complexidade do código
Survey sobre Estado do DevOps,2016,EUA,Survey,Desempenho de entrega,Lead time para mudanças
Fatores não-técnicos em CD,2017,Espanha,Estudo de Caso,Cultura e liderança,Aprendizado organizacional
Microserviços e DevOps,2016,Canadá,Estudo de Caso,Arquitetura,Agilidade de entrega
